11640,Exc face-mm malig+marg 0.5 <
11641,Exc face-mm malig+marg 0.6-1
11642,Exc face-mm malig+marg 1.1-2
11643,Exc face-mm malig+marg 2.1-3
11644,Exc face-mm malig+marg 3.1-4
11646,Exc face-mm mlg+marg > 4 cm
11719,Trim nail(s)
11720,Debride nail 1-5
11721,Debride nail 6 or more
11730,Removal of nail plate
11732,Remove nail plate add-on
11740,Drain blood from under nail
11750,Removal of nail bed
11752,Remove nail bed/finger tip
11755,Biopsy nail unit
11760,Repair of nail bed
11762,Reconstruction of nail bed
11765,Excision of nail fold toe
11770,Removal of pilonidal lesion
11771,Removal of pilonidal lesion
11772,Removal of pilonidal lesion
11900,Injection into skin lesions
11901,Added skin lesions injection
11920,Correct skin color defects
11921,Correct skin color defects
11922,Correct skin color defects
11950,Therapy for contour defects
11951,Therapy for contour defects
11952,Therapy for contour defects
11954,Therapy for contour defects
11960,Insert tissue expander(s)
11970,Replace tissue expander
11971,Remove tissue expander(s)
11975,Insert contraceptive cap
11976,Removal of contraceptive cap
11977,Removal/reinsert contra cap
11980,Implant hormone pellet(s)
11981,Insert drug implant device
11982,Remove drug implant device
11983,Remove/insert drug implant
12001,Repair superficial wound(s)
12002,Repair superficial wound(s)
12004,Repair superficial wound(s)
12005,Repair superficial wound(s)
12006,Repair superficial wound(s)
12007,Repair superficial wound(s)
12011,Repair superficial wound(s)
12013,Repair superficial wound(s)
12014,Repair superficial wound(s)
12015,Repair superficial wound(s)
12016,Repair superficial wound(s)
12017,Repair superficial wound(s)
12018,Repair superficial wound(s)
12020,Closure of split wound
12021,Closure of split wound
12031,Layer closure of wound(s)
12032,Layer closure of wound(s)
12034,Layer closure of wound(s)
12035,Layer closure of wound(s)
12036,Layer closure of wound(s)
12037,Layer closure of wound(s)
12041,Layer closure of wound(s)
12042,Layer closure of wound(s)
12044,Layer closure of wound(s)
12045,Layer closure of wound(s)
12046,Layer closure of wound(s)
12047,Layer closure of wound(s)
12051,Layer closure of wound(s)
12052,Layer closure of wound(s)
12053,Layer closure of wound(s)
12054,Layer closure of wound(s)
12055,Layer closure of wound(s)
12056,Layer closure of wound(s)
12057,Layer closure of wound(s)
13100,Repair of wound or lesion
13101,Repair of wound or lesion
13102,Repair wound/lesion add-on
13120,Repair of wound or lesion
13121,Repair of wound or lesion
13122,Repair wound/lesion add-on
13131,Repair of wound or lesion
13132,Repair of wound or lesion
13133,Repair wound/lesion add-on
13150,Repair of wound or lesion
13151,Repair of wound or lesion
13152,Repair of wound or lesion
13153,Repair wound/lesion add-on
13160,Late closure of wound
14000,Skin tissue rearrangement
14001,Skin tissue rearrangement
14020,Skin tissue rearrangement
14021,Skin tissue rearrangement
14040,Skin tissue rearrangement
14041,Skin tissue rearrangement
14060,Skin tissue rearrangement
14061,Skin tissue rearrangement
14300,Skin tissue rearrangement
14350,Skin tissue rearrangement
15000,Skin graft
15001,Skin graft add-on
15050,Skin pinch graft
15100,Skin split graft
15101,Skin split graft add-on
15120,Skin split graft
15121,Skin split graft add-on
15200,Skin full graft
15201,Skin full graft add-on
15220,Skin full graft
15221,Skin full graft add-on
15240,Skin full graft
15241,Skin full graft add-on
15260,Skin full graft
15261,Skin full graft add-on
